name,folder
access-point,material_design
alert-circle,material_design
angle-acute,material_design
api,material_design
arrow-down,material_design
arrow-left,material_design
arrow-right,material_design
arrow-up,material_design
av-timer,material_design
baby-face,material_design
battery,material_design
bind,base
blinds,material_design
blinds-horizontal,material_design
brightness-5,material_design
brightness-6,material_design
calendar-clock,material_design
chart-bar,material_design
chart-bell-curve,material_design
check,material_design
check-circle,material_design
checkbox-blank-outline,material_design
checkbox-marked,material_design
chevron-down,material_design
chevron-left,material_design
chevron-right,material_design
chip,material_design
clock,material_design
clock-time-four-outline,material_design
close,material_design
close-circle,material_design
code-tags,material_design
cog,material_design
compass,base
cpu-64-bit,material_design
cube,material_design
current-ac,material_design
cursor-move,material_design
database,material_design
database-check,material_design
delete,material_design
desktop-classic,material_design
docker,material_design
door-closed,material_design
door-open,material_design
dots-grid,material_design
dots-vertical,material_design
download,base
ethernet,material_design
eyedropper,material_design
fan,base
flash,material_design
flash-alert,material_design
flash-off,material_design
flash-outline,material_design
folder-multiple,material_design
garage,material_design
gas-cylinder,material_design
gauge,material_design
gesture-tap-button,material_design
hammer,material_design
harddisk,material_design
information,material_design
information-outline,material_design
ip-network,material_design
laptop,material_design
lightbulb,base
lightbulb-on-outline,material_design
lightning-bolt,material_design
linux,base
lock,base
magnify,material_design
map-marker,material_design
memory,material_design
menu-down,material_design
motion-sensor,material_design
network,fontello
note,material_design
page-first,material_design
page-last,material_design
palette,material_design
pencil,material_design
percent,material_design
play-circle-outline,material_design
plus,material_design
power,material_design
power-plug,material_design
puzzle,base
radiator,material_design
radioactive,material_design
radiobox-marked,material_design
refresh,material_design
refresh-auto,material_design
remote-tv,material_design
rename-box,material_design
restart,material_design
rocket-launch,material_design
rotate-3d-variant,material_design
router-wireless,material_design
server,material_design
shield-alert,material_design
smoke-detector,material_design
snowflake,base
speedometer,material_design
speedometer-medium,material_design
swap-horizontal,material_design
temperature-celsius,material_design
thermometer,material_design
thermometer-alert,material_design
thermometer-lines,material_design
timer,material_design
timer-outline,material_design
timer-sand,material_design
toggle-switch,material_design
tune-variant,material_design
unfold-more-vertical,material_design
upload,base
vibrate,material_design
view-grid,material_design
view-grid-plus,material_design
view-list,material_design
volume-high,material_design
water,material_design
water-alert,material_design
water-percent,material_design
weather-fog,material_design
weather-pouring,material_design
weather-rainy,material_design
weather-snowy,material_design
weather-sunny-alert,material_design
weather-windy,material_design
wifi,base
window-closed,material_design
window-closed-variant,material_design
